:   ID : executionTime     : executionResult : description  
:  232 :             0.202 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_other_cardinality (text, error_msg) AS      
:  233 :             0.211 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_char_concat (col1) AS      
:  234 :             0.202 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_other_empty_clob (col1) AS      
:  235 :             0.462 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_date_months_between (col1) AS      
:  236 :             0.293 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_sum1 (col1, col2, col3, col4, col5) AS      
:  237 :             0.289 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_agr_count4 (col1) AS      
:  238 :             0.224 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_date_extract14 (text, error_msg) AS      
:  239 :             0.230 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_conv_to_number1 (text, error_msg) AS      
:  240 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_char_regexp_instr1 (col1) AS      
:  241 :             0.215 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_num_power (col1) AS      
:  242 :             0.202 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_agr_sum2 (col1) AS      
:  243 :             0.226 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_avg18 (text, error_msg) AS      
:  244 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_account_full_join_in_from (accountno, cust_last_name, currencyid, accountbalance) AS      
:  245 :             0.314 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_avg15 (text, error_msg) AS      
:  246 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_lead4 (col1, col2, col3, col4, col5) AS      
:  247 :             0.202 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_count2 (col1, col2, col3, col4, col5) AS      
:  248 :             0.228 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_other_dump (text, error_msg) AS      
:  249 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_date_localtimestamp2 (text, error_msg) AS      
